,Temperature,,,Dew Point,,,Humidity,,,Speed,,,Pressure,,Precip. Accum.
Date,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Low,Sum
10/1/2025,11.8 °C,6.5 °C,-0.7 °C,4.6 °C,2.2 °C,-1.4 °C,95 °%,75 °%,55 °%,--,--,--,1.010.47 °hPa,1.007.87 °hPa,--
10/2/2025,12.5 °C,8.3 °C,3.1 °C,5.1 °C,3.8 °C,1.9 °C,92 °%,74 °%,59 °%,--,--,--,1.007.82 °hPa,1.000.91 °hPa,--
10/3/2025,12.2 °C,8.7 °C,6.0 °C,5.8 °C,4.8 °C,2.9 °C,90 °%,78 °%,58 °%,--,--,--,1.000.96 °hPa,993.11 °hPa,--
10/4/2025,9.8 °C,8.2 °C,7.0 °C,6.6 °C,5.6 °C,3.7 °C,94 °%,84 °%,66 °%,--,--,--,993.01 °hPa,971.51 °hPa,--
10/5/2025,10.9 °C,8.6 °C,7.0 °C,10.2 °C,8.0 °C,6.0 °C,98 °%,96 °%,93 °%,--,--,--,977.51 °hPa,967.21 °hPa,--
10/6/2025,12.9 °C,8.2 °C,5.9 °C,9.1 °C,7.2 °C,5.7 °C,100 °%,94 °%,66 °%,--,--,--,990.01 °hPa,977.61 °hPa,--
10/7/2025,10.8 °C,9.2 °C,7.3 °C,9.9 °C,7.8 °C,6.0 °C,99 °%,91 °%,85 °%,--,--,--,990.01 °hPa,983.86 °hPa,--
10/8/2025,11.0 °C,9.2 °C,-0.2 °C,9.9 °C,7.8 °C,6.0 °C,99 °%,91 °%,85 °%,--,--,--,990.01 °hPa,983.86 °hPa,--
10/9/2025,9.9 °C,4.5 °C,-0.4 °C,7.1 °C,3.1 °C,-0.6 °C,100 °%,91 °%,77 °%,--,--,--,986.61 °hPa,976.66 °hPa,--
10/10/2025,10.2 °C,5.6 °C,0.4 °C,6.1 °C,3.0 °C,0.2 °C,100 °%,84 °%,69 °%,--,--,--,983.81 °hPa,976.56 °hPa,--
10/11/2025,9.7 °C,7.3 °C,5.4 °C,4.6 °C,2.3 °C,1.2 °C,86 °%,71 °%,59 °%,--,--,--,989.51 °hPa,977.66 °hPa,--
10/12/2025,9.4 °C,6.1 °C,3.5 °C,3.4 °C,1.9 °C,0.3 °C,86 °%,75 °%,62 °%,--,--,--,999.56 °hPa,988.36 °hPa,--
10/13/2025,5.8 °C,3.5 °C,1.6 °C,,,,,,,,,,,,
10/14/2025,8.3 °C,5.4 °C,2.2 °C,,,,,,,,,,,,
10/15/2025,11.6 °C,9.1 °C,5.6 °C,,,,,,,,,,,,
10/16/2025,9.1 °C,4.6 °C,0.6 °C,,,,,,,,,,,,
10/17/2025,5.5 °C,1.5 °C,-2.4 °C,,,,,,,,,,,,
10/18/2025,6.3 °C,1.8 °C,-2.2 °C,,,,,,,,,,,,
10/19/2025,9.4 °C,4.3 °C,-0.3 °C,3.8 °C,1.4 °C,-1.2 °C,95 °%,82 °%,68 °%,--,--,--,993.11 °hPa,987.01 °hPa,--
10/20/2025,7.1 °C,3.1 °C,-0.8 °C,2.9 °C,0.8 °C,-1.3 °C,96 °%,85 °%,63 °%,--,--,--,987.01 °hPa,981.26 °hPa,--
10/21/2025,7.5 °C,4.7 °C,1.9 °C,6.8 °C,3.1 °C,0.4 °C,96 °%,90 °%,82 °%,--,--,--,981.11 °hPa,974.71 °hPa,--
10/22/2025,9.4 °C,8.5 °C,7.2 °C,,,,,,,,,,,,
10/23/2025,10.9 °C,9.4 °C,8.4 °C,9.2 °C,8.6 °C,7.7 °C,98 °%,95 °%,87 °%,--,--,--,974.86 °hPa,972.21 °hPa,--
10/24/2025,8.6 °C,7.5 °C,5.7 °C,8.3 °C,7.1 °C,5.4 °C,99 °%,97 °%,93 °%,--,--,--,975.16 °hPa,973.71 °hPa,--
10/25/2025,7.4 °C,6.7 °C,5.7 °C,6.6 °C,6.2 °C,5.4 °C,98 °%,97 °%,94 °%,--,--,--,973.71 °hPa,968.16 °hPa,--
10/26/2025,9.7 °C,7.5 °C,5.1 °C,9.2 °C,7.2 °C,5.0 °C,99 °%,98 °%,95 °%,--,--,--,968.16 °hPa,960.71 °hPa,--
10/27/2025,5.8 °C,4.8 °C,3.7 °C,,,,,,,,,,,,
10/28/2025,5.7 °C,4.8 °C,4.3 °C,5.3 °C,4.6 °C,4.0 °C,100 °%,98 °%,96 °%,--,--,--,968.46 °hPa,962.41 °hPa,--
10/29/2025,4.3 °C,2.7 °C,1.2 °C,,,,,,,,,,,,
10/30/2025,4.6 °C,3.0 °C,1.6 °C,4.3 °C,2.7 °C,1.5 °C,100 °%,99 °%,95 °%,--,--,--,982.41 °hPa,976.81 °hPa,--
10/31/2025,3.9 °C,3.5 °C,2.5 °C,3.4 °C,2.8 °C,1.5 °C,98 °%,95 °%,89 °%,--,--,--,992.36 °hPa,982.51 °hPa,--
